time,Ft
2.79199999999991,-12.1586059538964
2.79399999999991,-12.0585908337848
2.79599999999991,-11.9580996611547
2.79799999999991,-11.8571364032256
2.79999999999991,-11.7557050458539
2.80199999999991,-11.653809593376
2.80399999999991,-11.5514540684498
2.80599999999991,-11.4486425118963
2.80799999999991,-11.3453789825397
2.80999999999991,-11.2416675570472
2.81199999999991,-11.1375123297683
2.81399999999991,-11.0329174125732
2.81599999999991,-10.9278869346901
2.81799999999991,-10.8224250425422
2.81999999999991,-10.7165358995847
2.82199999999991,-10.6102236861394
2.82399999999991,-10.5034925992307
2.82599999999991,-10.396346852419
2.82799999999991,-10.288790675635
2.82999999999991,-10.1808283150123
2.83199999999991,-10.0724640327201
2.83399999999991,-9.96370210679474
2.83599999999991,-9.85454683097081
2.83799999999991,-9.74500251451165
2.83999999999991,-9.63507348203933
2.84199999999991,-9.52476407336384
2.84399999999991,-9.41407864331173
2.84599999999991,-9.30302156155427
2.84799999999991,-9.19159721243492
2.84999999999991,-9.07980999479612
2.85199999999991,-8.96766432180585
2.85399999999991,-8.85516462078326
2.85599999999991,-8.74231533302391
2.85799999999991,-8.62912091362445
2.85999999999991,-8.51558583130678
2.86199999999991,-8.40171456824148
2.86399999999991,-8.28751161987106
2.86599999999991,-8.17298149473238
2.86799999999991,-8.05812871427867
2.86999999999991,-7.94295781270105
2.87199999999991,-7.82747333674954
2.87399999999991,-7.71167984555345
2.8759999999999,-7.59558191044156
2.8779999999999,-7.47918411476157
2.8799999999999,-7.36249105369914
2.8819999999999,-7.24550733409652
2.8839999999999,-7.12823757427067
2.8859999999999,-7.01068640383086
2.8879999999999,-6.89285846349604
2.8899999999999,-6.77475840491155
2.8919999999999,-6.65639089046547
2.8939999999999,-6.53776059310461
2.8959999999999,-6.41887219615
2.8979999999999,-6.29973039311193
2.8999999999999,-6.1803398875048
2.9019999999999,-6.06070539266135
2.9039999999999,-5.94083163154659
2.9059999999999,-5.82072333657135
2.9079999999999,-5.70038524940549
2.9099999999999,-5.57982212079057
2.9119999999999,-5.4590387103525
2.9139999999999,-5.33803978641353
2.9159999999999,-5.21683012580397
2.9179999999999,-5.0954145136737
2.9199999999999,-4.9737977433032
2.9219999999999,-4.85198461591427
2.9239999999999,-4.72997994048063
2.9259999999999,-4.60778853353797
2.9279999999999,-4.4854152189938
2.9299999999999,-4.36286482793704
2.9319999999999,-4.24014219844733
2.9339999999999,-4.11725217540388
2.9359999999999,-3.99419961029441
2.9379999999999,-3.87098936102349
2.9399999999999,-3.7476262917208
2.9419999999999,-3.6241152725491
2.9439999999999,-3.50046117951189
2.9459999999999,-3.37666889426106
2.9479999999999,-3.25274330390407
2.9499999999999,-3.12868930081103
2.9519999999999,-3.00451178242157
2.9539999999999,-2.88021565105152
2.9559999999999,-2.75580581369925
2.9579999999999,-2.63128718185215
2.9599999999999,-2.5066646712926
2.9619999999999,-2.38194320190392
2.9639999999999,-2.25712769747617
2.96599999999989,-2.13222308551178
2.96799999999989,-2.0072342970309
2.96999999999989,-1.8821662663769
2.97199999999989,-1.75702393102149
2.97399999999989,-1.63181223136978
2.97599999999989,-1.5065361105653
2.97799999999989,-1.38120051429481
2.97999999999989,-1.25581039059297
2.98199999999989,-1.1303706896472
2.98399999999989,-1.00488636360211
2.98599999999989,-0.87936236636403
2.98799999999989,-0.753803653405432
2.98999999999989,-0.628215181569352
2.99199999999989,-0.502601908873545
2.99399999999989,-0.376968794314967
2.99599999999989,-0.251320797673865
2.99799999999989,-0.125662879318
2.99999999999989,-6.82855814409185e-12
3.00199999999989,0.125662879304307
3.00399999999989,0.251320797660173
3.00599999999989,0.376968794301277
3.00799999999989,0.502601908859856
3.00999999999989,0.628215181555666
3.01199999999989,0.753803653391785
3.01399999999989,0.87936236635035
3.01599999999989,1.00488636358844
3.01799999999989,1.13037068963353
3.01999999999989,1.2558103905793
3.02199999999989,1.38120051428115
